,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temps,Hotel Names
31,Okato,-39.2,173.8833,72,0,1.34,NZ,1612404031,71.99600000000005,Goodin Country Garden
44,Atuona,-9.8,-139.0333,71,0,4.32,PF,1612404035,78.17000000000006,Villa Enata
68,Takoradze,4.8845,-1.7554,86,0,3.04,GH,1612404043,79.484,Raybow International Hotel
73,Harper,4.375,-7.7169,89,0,3.45,LR,1612404044,78.44000000000003,Screensaver
113,Grand Gaube,-20.0064,57.6608,86,0,1.34,MU,1612404030,75.99199999999999,Veranda Paul et Virginie Hotel & Spa
130,Saint-Philippe,-21.3585,55.7679,73,0,2.06,RE,1612404060,75.99199999999999,"Chambres d'hôte ""La Trinité"""
132,Coyhaique,-45.5752,-72.0662,56,0,1.54,CL,1612404061,71.6,Diego De Almagro Coyhaique
188,Ballitoville,-29.539,31.2144,88,0,0.51,ZA,1612404077,73.99400000000007,Hotel Fairmont Zimbali Resort
205,Gogrial,8.5332,28.1004,26,0,0.35,SS,1612404081,75.48800000000004,
211,Birao,10.2849,22.7882,22,0,1.24,CF,1612404082,72.23000000000005,
225,Pisco,-13.7,-76.2167,78,0,5.66,PE,1612404087,71.99600000000005,Hotel San Isidro Oficial
249,Opunake,-39.4556,173.8583,72,0,1.34,NZ,1612404093,71.99600000000005,Walton Cottage
286,Sawākin,19.1059,37.3321,75,0,1.24,SD,1612404102,75.23600000000008,فندق الدويم
298,Lafia,8.4833,8.5167,19,0,0.93,NG,1612404111,73.67000000000006,Low Cost Housing Estate
299,Esim,4.8699,-2.2405,86,0,2.88,GH,1612404111,79.16000000000008,AXIM BEACH RESORT AND SPA
312,Maceió,-9.6658,-35.7353,88,0,1.54,BR,1612404115,75.2,Poutur Pousada
330,São João da Barra,-21.6403,-41.0511,87,0,7.84,BR,1612404119,77.32400000000001,Pousada Porto De Canoas
335,Tari,12.4086,4.4914,19,0,5.29,NG,1612404120,71.02400000000002,
361,Neuquén,-38.9516,-68.0591,53,0,3.06,AR,1612404127,73.4,Hotel del Comahue
400,Edd,13.9297,41.6925,40,0,7.75,ER,1612404136,75.61400000000003,
455,Ribeirão das Neves,-19.7669,-44.0867,50,0,3.09,BR,1612404152,78.8,Hotel Ribeirão das Neves - Central
484,Zhuhai,22.2769,113.5678,68,0,2.57,CN,1612404159,71.00600000000003,Nanyang Seascape Hotel Zhuhai Hotel
537,Lima,-12.0432,-77.0282,78,0,2.57,PE,1612403405,77.0,Gran Hotel Bolivar Lima
